Discipline (분야)	English (영어)	Korean (한국어)
건축	Initiating Devices	작동 장치
소방	Initiating Devices	기동 장치
건축	Installation And Monitoring	설치 및 감시
소방	Installation of Pipe Hangers	배관 행거의 설치
소방	Installation of Piping, Valves, and Appurtenances	배관, 밸브 및 부속품의 설치
소방	Installation Requirements	설치 요구사항
소방	Installation Requirements for Hanging and Support of System Piping	시스템 배관의 행잉 및 지지 설치 요건
소방	Installation Requirements for Standard Pendent, Upright, Pendent, Sidewall Spray Sprinkler	표준형 하향식, 상향식 및 측벽식 스프레이 스프링클러의 설치 요구사항
소방	Intelligible Voice Messages	명확한 음성 메시지
소방	Interfaces with Wide-Area Mass Notification Systems	대규모 광역 경보 시스템과의 인터페이스
건축	Interior Finish Requirements Based On Occupancy	용도별 내장재 요구사항
건축	Interior Finishes	내장재
건축	Interior Floor Finish	내부 바닥 마감재
건축	Interior Wall And Ceiling Finish Materials Tested in Accordance with ASTM E84 or UL 723	ASTM E84 또는 UL 723에 따라 시험한 내부 벽 및 천장 마감재
건축	Interior Wall And Ceiling Finish Materials Tested in Accordance with NFPA 286	NFPA 286에 따라 시험한 내부 벽 및 천장 마감재
건축	Internally Illuminated Exit Signs	내부 조명식 피난구 표지
소방	Introduction	서론
소방	Jockey Pumps	충압 펌프
건축	Joints And Voids	이음부 및 틈새
건축	Joints And Voids In Smoke Barriers	방연구획 이음부 및 틈새
소방	K-Factor Formula	K-계수 공식
소방	K-Factors Greater than K-28.0 (400)	K-28.0 (400)을 초과하는 K-계수
소방	Landings	계단참
소방	Large Openings	대형 개구부
건축	Lateral Location	횡방향 위치
건축	Leakage Containment	누출 격리
소방	Library Stack Areas and Record Storage	도서관 서가 구역 및 기록물 보관소
건축	Life Safety Systems	인명안전시스템
소방	Light Hazard	경급 위험
건축	Lighting	조명
소방	Liquid Supplies	액체 공급
소방	Local Operating Console (LOC)	로컬 작동 콘솔(LOC)
건축	Location	위치
소방	Location and Spacing	위치 및 이격거리
소방	Location for Smooth Ceiling	수평면 천장 위치
건축	Location of Class I Standpipe Hose Connections	Class I 연결송수관 호스접결구 위치
건축	Location of Class II Standpipe Hose Connections	Class II 연결송수관 호스접결구 위치
건축	Location of Class III Standpipe Hose Connections	Class III 연결송수관 호스접결구 위치
건축	Location of Occupied Levels	거주층의 위치
소방	Location of Supply Air Source	급기원의 위치
소방	Locations of Hose Connections	호스접결구 위치
소방	Lockout Valves	잠금 밸브
소방	Longitudinal Flue Space	종방향 연도 공간
소방	Loudspeakers	확성기
소방	Low Air Pressure Alarm	저기압 경보
건축	Low-hazard Factory Industrial, Group F-2	저위험 공장산업시설군 F-2
건축	Low-hazard Storage, Group S-2	저위험 저장시설군 S-2
건축	Luminous Egress Path Markings	축광 피난경로 유도표시
소방	Machine Rooms, Machinery Spaces, Control Rooms, and Control Spaces	기계실, 기계 공간, 제어실 및 제어 공간
건축	Maintenance and Plans	유지보수 및 계획
소방	Manifold Test Connection	매니폴드 연결 테스트
소방	Manual Actuation	수동 작동
건축	Manual Fire Alarm Boxes	수동 화재경보기
소방	Manual Release Valve	수동 작동 밸브
소방	Manually Actuated Alarm-Initiating Devices	수동 경보 개시 장치
건축	Marking on Access Doors	점검구 표시
소방	Mass Notification Layers	대규모 경보 층(Layer)
소방	Maximum Distance Between Hangers	행거 간 최대 거리
소방	Maximum Distance Between Sprinklers	스프링클러 간 최대 간격
소방	Maximum Distance Between Sprinklers	스프링클러 간 최대 거리
소방	Maximum Distance from Walls	벽체로부터 최대 거리
건축	Maximum Floor Area Allowance per Occupant	수용인원 당 최대 허용 바닥 면적
소방	Maximum Flow Rates for Individual Connections	개별 접속구의 최대 유량
소방	Maximum Operating Pressure	최대 작동 압력
소방	Maximum Pressure at Hose Connections	최소 및 최대 압력
소방	Maximum Pressure for Centrifugal Pumps	원심펌프의 최대 압력
건축	Means of Egress	피난수단
건축	Means of Egress	피난시설
건축	Means of Egress Sizing	피난시설 규모 산정
건축	Measurement	측정
건축	Mechanical Ventilation	기계환기
소방	Messages for One-Way Emergency Communications Systems	단방향 비상 통신 시스템용 메시지
건축	Mezzanine	메자닌(중층)
건축	Mezzanine	메자닌
건축	Mezzanines And Equipment Platforms	메자닌 및 장비 플랫폼
소방	Microphone Use	마이크 사용
건축	Minimum Critical Radiant Flux	최소 임계복사열유속
소방	Minimum Design Pressure for Hydraulically Designed Systems	수리설계시스템의 최소 설계 압력
소방	Minimum Distance Between Sprinklers	스프링클러 간 최소 거리
소방	Minimum Distance from Obstructions	장애물로부터 최소 거리
소방	Minimum Distance from Walls	벽체로부터 최소 거리
소방	Minimum Distances Between Sprinklers	스프링클러 간 최소 거리
소방	Minimum Distances from Walls	벽체로부터 최소 거리
소방	Minimum Flow Rate	최소 유량
건축	Minimum Frontage Distance	최소 전면부 거리
소방	Minimum Operating Pressure	최소 작동 압력
소방	Minimum Pressure at Hose Connection	호스 접결구의 최소 압력
건축	Minimum Pressure Difference	최소 압력차
소방	Minimum Rate of Application	최소 살수율
소방	Minimum Rate of Flow	최소 유량
건축	Minimum Width	최소 폭
건축	Mixed Occupancies	복합 용도
건축	Mixed Occupancy	복합 용도
건축	Mixed Use And Occupancy	혼합 사용 및 용도
건축	Mixed-occupancy Buildings	복합 용도 건물
건축	Moderate-hazard Factory Industrial, Group F-1	중위험 공장산업시설군 F-1
건축	Moderate-hazard Storage, Group S-1	중위험 저장시설군 S-1
건축	Monitored or Recorded Egress, and Access Control Systems	감시 또는 기록되는 피난 및 출입통제시스템
소방	Monitoring for Integrity	무결성 감시
소방	Mounting	설치
건축	Multiple Hazards	다중 위험
건축	Multiple-channel Voice Evacuation	다중 음성경보 시스템
소방	Multiple-Injection Systems	다중 송기 시스템
건축	Non-separated Occupancies	비분리 용도
건축	Noncombustibility Tests	불연성 시험
